,동,workppl,dem,bikelength,sum_road_dem,sum_ppl_dem,sum_ppl_road,sum_3,index,지하철역개수,버스정거장개수,접근성,교통편,총거치대수,교통지수,tr_index,sum_index,interg
190,서원동,0.9245440492724514,-0.1521195970560854,-0.2790346419354377,-0.4311542389915231,0.7724244522163659,0.6455094073370137,0.4933898102809282,190,-0.8824176108295296,-0.42202165597145647,0.2558344128009462,-0.5697774600619597,-0.5411047463776885,-1.1108822064396482,1,1,1.0
196,석촌동,1.3571606005687358,0.6812159786294224,0.5014042806849569,1.1826202593143793,2.0383765791981583,1.8585648812536928,2.5397808598831157,196,-0.8824176108295296,-0.5538354181312337,-0.5876712586243032,-0.6933190826987641,-0.33871389111174305,-1.0320329738105072,1,1,1.0
199,성내3동,-0.7928636232055931,0.6034325172480006,0.7390274608584017,1.3424599781064024,-0.1894311059575925,-0.05383616234719146,0.5495963549008092,199,0.3689036834571611,-0.7515560613708995,-0.030189360598605535,-0.631548271380362,0.10654599047333684,-0.5250022809070252,1,1,1.0
204,성수1가2동,-0.9366478973138032,0.7560722008236056,1.3556922677567178,2.1117644685803234,-0.18057569649019767,0.41904437044291454,1.17511657126652,204,0.3689036834571611,-0.9492767046105653,-0.6568706618672857,-0.8168607053355685,-0.20378665426777945,-1.020647359603348,1,1,1.0
205,성수2가1동,-0.4919557136217122,0.7916628674092271,0.6649272091129829,1.4565900765222095,0.29970715378751484,0.17297149549127072,0.9646343629004976,205,-0.8824176108295296,0.30295403590731823,-0.06510705900033698,0.10970146444046437,-0.5141192990088957,-0.4044178345684314,1,1,1.0
206,성수2가3동,-0.16591363893493102,0.7385036968877281,0.4860818557477685,1.2245855526354967,0.5725900579527969,0.3201682168128375,1.0586719137005656,206,0.3689036834571611,-0.4879285370513451,-0.3463090492784562,-0.38446502610675315,-0.09584486479260856,-0.4803098908993617,1,1,1.0
210,송정동,0.07096533608513772,0.7182918072615563,0.13441964407459436,0.8527114513361507,0.7892571433466941,0.20538498015973208,0.9236767874212884,210,-0.8824176108295296,-0.685649180291011,-0.41742947471107966,-0.8168607053355685,-0.33871389111174305,-1.1555745964473116,1,1,1.0
213,송파1동,0.6746065415452893,0.5247518760637369,0.3928913696543773,0.9176432457181142,1.1993584176090262,1.0674979111996667,1.5922497872634036,213,0.3689036834571611,-0.8174629424507881,-0.31386466647794165,-0.6933190826987641,-0.40617750953372483,-1.0994965922324889,1,1,1.0
214,송파2동,-0.14372817476589078,0.32868260745564537,0.4546834439912351,0.7833660514468805,0.1849544326897546,0.31095526922534433,0.6396378766809897,214,-0.8824176108295296,-1.2788111100100084,-0.9972151727551719,-1.3727980072011883,-0.43316295690251755,-1.8059609641037058,1,1,1.0
217,수서동,-1.0281980405936402,0.4631505984143661,1.8771570902092247,2.3403076886235907,-0.5650474421792742,0.8489590496155845,1.3121096480299506,217,0.3689036834571611,-0.6197422992111223,-0.8917744863672787,-0.5080066487435575,-0.23077210163657216,-0.7387787503801296,1,1,1.0
228,신길1동,0.15760097780854168,0.6562875590227734,-0.17780616243237393,0.4784813965903994,0.813888536831315,-0.02020518462383225,0.6360823743989411,228,0.3689036834571611,-0.09248725057201343,1.1955431490763768,-0.013840158196340007,-0.635553812168463,-0.649393970364803,1,1,1.0
239,신대방2동,0.4016410836679842,0.3438206158239368,-0.5653881571550224,-0.22156754133108564,0.7454616994919209,-0.16374707348703826,0.18007354233689854,239,-0.8824176108295296,0.1052333926676524,5.665899730589129e-05,-0.0756109695147422,-0.635553812168463,-0.7111647816832052,1,1,1.0
242,신사1동,2.067235868308207,0.3491073872045255,-0.000970307419577766,0.3481370797849477,2.4163432555127318,2.0662655608886293,2.4153729480931543,242,0.3689036834571611,-0.2902078938116793,0.26890242303992157,-0.19915259215154657,-0.43316295690251755,-0.6323155490540642,1,1,1.0
243,신사2동,0.6192832954528725,0.06702544020984856,-0.28782619722726704,-0.22080075701741847,0.6863087356627211,0.3314570982256055,0.3984825384354541,243,0.3689036834571611,0.2370471548274296,0.4863541134164766,0.29501389839567094,-0.7704810490124265,-0.4754671506167556,1,1,1.0
248,신월1동,0.989836712807918,0.7873366359870482,-0.7449870724023936,0.04234956358465458,1.777173348794966,0.24484964040552426,1.0321862763925729,248,-0.8824176108295296,-1.0810904667703425,-0.8418784472730088,-1.1874855732459817,-0.36569933848053576,-1.5531849117265175,1,1,1.0
249,신월2동,0.7376525757978151,0.4534640978311399,-0.3551443920332747,0.0983197057978652,1.1911166736289551,0.3825081837645404,0.8359722815956803,249,-0.8824176108295296,-1.0810904667703425,-0.7698972761206181,-1.1874855732459817,-0.02838124637062676,-1.2158668196166085,1,1,1.0
250,신월3동,0.2532231366637087,0.5446241552560646,-0.7449870724023936,-0.20036291714632906,0.7978472919197732,-0.4917639357386849,0.052860219517379625,250,-0.8824176108295296,-0.9492767046105653,-0.9554349500392798,-1.0639439506091772,-0.7704810490124265,-1.8344249996216038,1,1,1.0
252,신월5동,0.2852376039456149,0.4951905618819603,-0.7449870724023936,-0.2497965105204333,0.7804281658275751,-0.4597494684567787,0.035441093425181536,252,-0.8824176108295296,-0.8833698235306767,-0.59529077580712,-1.0021731392907751,-0.23077210163657216,-1.2329452409273474,1,1,1.0
254,신월7동,0.7504302798445407,0.15830714913346358,-0.7449870724023936,-0.58667992326893,0.9087374289780042,0.005443207442147102,0.16375035657561066,254,-0.8824176108295296,-0.42202165597145647,-0.7404091912997857,-0.5697774600619597,-0.4466556805869139,-1.0164331406488736,1,1,1.0
255,신정1동,0.3998156973755948,0.8373024546679231,0.2662929734520346,1.1035954281199576,1.2371181520435182,0.6661086708276294,1.5034111254955524,255,0.3689036834571611,0.03932651158776379,1.2202535684373497,0.10970146444046437,-0.635553812168463,-0.5258523477279986,1,1,1.0
256,신정2동,-0.42848843637863504,0.8691726129185953,0.6154433121846862,1.484615925103281,0.4406841765399602,0.18695487580605116,1.0561274887246463,256,-0.8824176108295296,-0.7515560613708995,0.11862030529170212,-0.8786315166539707,-0.36569933848053576,-1.2443308551345065,1,1,1.0
258,신정4동,0.7052168655253575,0.7929300705205857,-0.2328161798298205,0.5601138906907652,1.4981469360459432,0.472400685695537,1.265330756216123,258,0.3689036834571611,-0.4879285370513451,-0.31475890555432734,-0.38446502610675315,-0.7030174305904447,-1.087482456697198,1,1,1.0
263,쌍문2동,0.15465227687468192,0.3067523904104712,-0.10320353609885057,0.20354885431162065,0.4614046672851531,0.051448740775831364,0.3582011311863026,263,-0.8824176108295296,-0.685649180291011,0.17452234909176434,-0.8168607053355685,-0.5545974700620848,-1.3714581753976534,1,1,1.0
268,암사1동,0.7462178499390267,0.3806987607706988,-0.12555920526950234,0.2551395555011964,1.1269166107097257,0.6206586446695244,1.0013574054402232,268,-0.8824176108295296,-0.685649180291011,-0.820354665702931,-0.8168607053355685,-0.7030174305904447,-1.5198781359260134,1,1,1.0
269,암사2동,0.6343076287825389,0.7756935737998841,1.748549195654464,2.524242769454348,1.4100012025824231,2.382856824437003,3.158550398236887,269,0.3689036834571611,-1.344717991089897,-1.334918969170632,-1.1874855732459817,-0.2847429963741576,-1.4722285696201394,1,1,1.0
270,암사3동,-0.10048056106928073,0.2169507747209232,0.205505648291386,0.4224564230123091,0.11647021365164245,0.10502508722210524,0.3219758619430284,270,-0.8824176108295296,-0.9492767046105653,-1.5984693827024672,-1.0639439506091772,-0.23077210163657216,-1.2947160522457495,1,1,1.0
271,압구정동,-0.30632796911872995,0.6682347499566635,0.8791899709395669,1.5474247208962304,0.3619067808379336,0.5728620018208369,1.2410967517775005,271,1.6202249777438518,-0.4879285370513451,-1.1781343629083108,-0.1373817808331444,-0.4466556805869139,-0.5840374614200583,1,1,1.0
286,영등포본동,0.4613171739960987,0.6507853631132539,-0.7449870724023936,-0.09420170928913972,1.1121025371093527,-0.2836698984062949,0.3671154647069591,286,0.3689036834571611,-0.5538354181312337,-0.400640925086419,-0.4462358374251553,-0.09584486479260856,-0.5420807022177638,1,1,1.0
