동,생산인구,경사도,자전거도로길이,총거치대수,총대여수,비율
을지로동,512.0,-23.8676,0.0,78.0,30720.0,39384.62
응봉동,4745.0,-17.5644,3866.0,36.0,42756.0,118766.67
응암1동,18778.0,-53.2423,0.0,73.0,54284.0,74361.64
응암2동,13514.0,-99.0505,0.0,19.0,23792.0,125221.05
응암3동,14226.0,-29.3219,0.0,50.0,58521.0,117042.0
이문1동,16019.0,-21.486,1359.0,46.0,28520.0,62000.0
이문2동,14271.0,-15.9863,4171.0,40.0,17381.0,43452.5
이촌1동,19570.0,-7.5694,12746.0,70.0,42604.0,60862.86
이촌2동,7346.0,-9.3376,12146.0,21.0,9936.0,47314.29
이태원1동,8554.0,-60.8562,0.0,25.0,14991.0,59964.0
이태원2동,2877.0,-115.1475,924.0,10.0,0.0,0.0
이화동,10293.0,-55.3303,1304.0,55.0,48608.0,88378.18
인수동,24758.0,-136.5536,0.0,40.0,21426.0,53565.0
인헌동,13907.0,-113.5061,404.0,12.0,5548.0,46233.33
일원1동,10912.0,-15.2469,1738.0,15.0,13007.0,86713.33
일원2동,11348.0,-14.978,7061.0,20.0,18442.0,92210.0
일원본동,18223.0,-72.2373,11994.0,40.0,8176.0,20440.0
자양1동,16275.0,-20.3562,4022.0,44.0,101249.0,230111.36
자양2동,16958.0,-15.0846,8884.0,24.0,58477.0,243654.17
자양3동,22462.0,-12.8251,5343.0,147.0,268024.0,182329.25
자양4동,11876.0,-12.1523,2980.0,42.0,81318.0,193614.29
잠실2동,32102.0,-10.4197,13418.0,38.0,46473.0,122297.37
잠실3동,14253.0,-12.7993,6310.0,39.0,41782.0,107133.33
잠실4동,14175.0,-14.6933,7853.0,30.0,59385.0,197950.0
잠실6동,12581.0,-11.6193,11674.0,65.0,125489.0,193060.0
잠실7동,8389.0,-14.2176,4996.0,35.0,31677.0,90505.71
잠실본동,29315.0,-13.953,6851.0,158.0,204641.0,129519.62
잠원동,30037.0,-17.5639,5406.0,150.0,93727.0,62484.67
장안1동,21004.0,-12.4826,8415.0,65.0,109646.0,168686.15
장안2동,16426.0,-12.6789,2801.0,48.0,20431.0,42564.58
장위1동,16579.0,-37.902,0.0,20.0,7386.0,36930.0
장위2동,8797.0,-21.7936,584.0,0.0,0.0,0.0
장위3동,11343.0,-22.1887,2617.0,81.0,12983.0,16028.4
장지동,13843.0,-32.9411,2650.0,100.0,55681.0,55681.0
장충동,13582.0,-70.9723,2830.0,51.0,14869.0,29154.9
전농1동,26422.0,-24.3913,0.0,53.0,31997.0,60371.7
전농2동,13357.0,-37.1024,0.0,154.0,68768.0,44654.55
정릉1동,18299.0,-50.3205,0.0,25.0,5935.0,23740.0
정릉2동,23300.0,-70.8446,0.0,25.0,11845.0,47380.0
정릉3동,16375.0,-135.803,0.0,30.0,8451.0,28170.0
정릉4동,24443.0,-258.1992,0.0,20.0,5564.0,27820.0
제기동,15406.0,-16.9916,880.0,54.0,20052.0,37133.33
조원동,12783.0,-17.0941,0.0,44.0,41705.0,94784.09
종로1·2·3·4가동,8853.0,-31.3656,4529.0,299.0,214873.0,71863.88
종로5·6가동,7098.0,-29.7645,0.0,186.0,122890.0,66069.89
종암동,24711.0,-27.9916,1914.0,72.0,94967.0,131898.61
중계1동,20346.0,-36.9197,3474.0,48.0,44184.0,92050.0
중계2·3동,15090.0,-25.7067,3833.0,84.0,84914.0,101088.1
중계4동,8405.0,-181.7358,930.0,33.0,31372.0,95066.67
중계본동,12747.0,-137.0066,0.0,40.0,30761.0,76902.5
중곡1동,19099.0,-18.6564,3549.0,30.0,52277.0,174256.67
중곡2동,18336.0,-28.9272,2913.0,9.0,94.0,1044.44
중곡3동,16563.0,-33.4225,1942.0,54.0,26176.0,48474.07
중곡4동,11556.0,-158.281,0.0,30.0,27897.0,92990.0
중림동,6081.0,-35.1046,0.0,45.0,20466.0,45480.0
중앙동,13134.0,-50.2592,559.0,66.0,38960.0,59030.3
중화1동,11989.0,-44.5284,0.0,8.0,105.0,1312.5
중화2동,19641.0,-15.6428,1493.0,75.0,31325.0,41766.67
증산동,18335.0,-19.0155,3993.0,20.0,20632.0,103160.0
진관동,39858.0,-146.1655,2115.0,320.0,88130.0,27540.62
창1동,22082.0,-30.2232,1047.0,50.0,19469.0,38938.0
창2동,14734.0,-39.47,0.0,15.0,21346.0,142306.67
창3동,3590.0,-62.7343,0.0,18.0,14098.0,78322.22
창4동,13785.0,-22.7581,7685.0,70.0,53252.0,76074.29
창5동,13687.0,-25.4397,47.0,132.0,64264.0,48684.85
창신1동,7628.0,-22.9801,0.0,40.0,104.0,260.0
창신2동,4541.0,-48.4957,0.0,0.0,0.0,0.0
창신3동,5661.0,-46.6966,0.0,30.0,8398.0,27993.33
천연동,17594.0,-59.576,0.0,64.0,15774.0,24646.88
천호1동,24974.0,-28.3545,2432.0,18.0,17889.0,99383.33
천호2동,26445.0,-15.5001,6815.0,64.0,87839.0,137248.44
천호3동,23521.0,-24.1685,371.0,70.0,17033.0,24332.86
청구동,8832.0,-60.8394,0.0,8.0,1522.0,19025.0
청담동,18558.0,-20.1158,5325.0,50.0,32175.0,64350.0
청량리동,15334.0,-37.9034,964.0,50.0,52571.0,105142.0
청룡동,25387.0,-46.3329,2407.0,71.0,22408.0,31560.56
청림동,6976.0,-84.2389,0.0,15.0,0.0,0.0
청운효자동,9057.0,-82.9345,2319.0,28.0,15959.0,56996.43
청파동,10777.0,-30.5015,286.0,27.0,22051.0,81670.37
충현동,16595.0,-63.0969,0.0,70.0,48688.0,69554.29
평창동,11943.0,-282.8426,0.0,35.0,1754.0,5011.43
풍납1동,16677.0,-13.737,8520.0,15.0,35171.0,234473.33
풍납2동,21804.0,-12.6403,15273.0,88.0,48130.0,54693.18
필동,5091.0,-79.1061,1855.0,22.0,20043.0,91104.55
하계1동,13990.0,-44.3205,3977.0,53.0,49158.0,92750.94
하계2동,20741.0,-20.978,2113.0,20.0,17251.0,86255.0
한강로동,9261.0,-16.1042,395.0,231.0,114696.0,49651.95
한남동,14904.0,-48.8304,14779.0,90.0,37121.0,41245.56
합정동,17448.0,-11.3868,8493.0,40.0,60494.0,151235.0
행당1동,10982.0,-19.3713,187.0,92.0,88117.0,95779.35
행당2동,15672.0,-32.5491,0.0,8.0,9415.0,117687.5
행운동,20977.0,-74.2251,492.0,80.0,20747.0,25933.75
